at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498734570,333429,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,7,store},
                {'(',7},
                {var,7,'Pid'},
                {',',7},
                {var,7,'Food'},
                {')',7},
                {'->',7},
                {var,8,'Pid'},
                {'!',8},
                {'{',8},
                {atom,8,self},
                {'(',8},
                {')',8},
                {',',8},
                {'{',8},
                {atom,8,store},
                {',',8},
                {var,8,'Food'},
                {'}',8},
                {'}',8},
                {',',8},
                {'receive',9},
                {'{',10},
                {var,10,'Pid'},
                {',',10},
                {var,10,'Msg'},
                {'}',10},
                {'->',10},
                {var,10,'Msg'},
                {'end',11},
                {dot,11}]}}","-1",
1498734570,333464,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333511,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.148>,
            {get_until,unicode,'',erl_scan,tokens,[12,[]]}}","-1",
1498734570,333657,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,13,take},
                {'(',13},
                {var,13,'Pid'},
                {',',13},
                {var,13,'Food'},
                {')',13},
                {'->',13},
                {var,14,'Pid'},
                {'!',14},
                {'{',14},
                {atom,14,self},
                {'(',14},
                {')',14},
                {',',14},
                {'{',14},
                {atom,14,take},
                {',',14},
                {var,14,'Food'},
                {'}',14},
                {'}',14},
                {',',14},
                {'receive',15},
                {'{',16},
                {var,16,'Pid'},
                {',',16},
                {var,16,'Msg'},
                {'}',16},
                {'->',16},
                {var,16,'Msg'},
                {'end',17},
                {dot,17}]}}","-1",
1498734570,333714,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333729,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.152>,
            {get_until,unicode,'',erl_scan,tokens,[18,[]]}}","-1",
1498734570,333835,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,19,store2},
                {'(',19},
                {var,19,'Pid'},
                {',',19},
                {var,19,'Food'},
                {')',19},
                {'->',19},
                {var,20,'Pid'},
                {'!',20},
                {'{',20},
                {atom,20,self},
                {'(',20},
                {')',20},
                {',',20},
                {'{',20},
                {atom,20,store},
                {',',20},
                {var,20,'Food'},
                {'}',20},
                {'}',20},
                {',',20},
                {'receive',21},
                {'{',22},
                {var,22,'Pid'},
                {',',22},
                {var,22,'Msg'},
                {'}',22},
                {'->',22},
                {var,22,'Msg'},
                {'after',23},
                {integer,23,3000},
                {'->',23},
                {atom,24,timeout},
                {'end',25},
                {dot,25}]}}","-1",
1498734570,333912,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,333923,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.156>,
            {get_until,unicode,'',erl_scan,tokens,[26,[]]}}","-1",
1498734570,334010,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,27,take2},
                {'(',27},
                {var,27,'Pid'},
                {',',27},
                {var,27,'Food'},
                {')',27},
                {'->',27},
                {var,28,'Pid'},
                {'!',28},
                {'{',28},
                {atom,28,self},
                {'(',28},
                {')',28},
                {',',28},
                {'{',28},
                {atom,28,take},
                {',',28},
                {var,28,'Food'},
                {'}',28},
                {'}',28},
                {',',28},
                {'receive',29},
                {'{',30},
                {var,30,'Pid'},
                {',',30},
                {var,30,'Msg'},
                {'}',30},
                {'->',30},
                {var,30,'Msg'},
                {'after',31},
                {integer,31,3000},
                {'->',31},
                {atom,32,timeout},
                {'end',33},
                {dot,33}]}}","-1",
1498734570,334112,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,334121,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.160>,
            {get_until,unicode,'',erl_scan,tokens,[34,[]]}}","-1",
1498734570,334318,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,35,fridge1},
                {'(',35},
                {')',35},
                {'->',35},
                {'receive',36},
                {'{',37},
                {var,37,'From'},
                {',',37},
                {'{',37},
                {atom,37,store},
                {',',37},
                {var,37,'_Food'},
                {'}',37},
                {'}',37},
                {'->',37},
                {var,38,'From'},
                {'!',38},
                {'{',38},
                {atom,38,self},
                {'(',38},
                {')',38},
                {',',38},
                {atom,38,ok},
                {'}',38},
                {',',38},
                {atom,39,fridge1},
                {'(',39},
                {')',39},
                {';',39},
                {'{',40},
                {var,40,'From'},
                {',',40},
                {'{',40},
                {atom,40,take},
                {',',40},
                {var,40,'_Food'},
                {'}',40},
                {'}',40},
                {'->',40},
                {var,42,'From'},
                {'!',42},
                {'{',42},
                {atom,42,self},
                {'(',42},
                {')',42},
                {',',42},
                {atom,42,not_found},
                {'}',42},
                {',',42},
                {atom,43,fridge1},
                {'(',43},
                {')',43},
                {';',43},
                {atom,44,terminate},
                {'->',44},
                {atom,45,ok},
                {'end',46},
                {dot,46}]}}","-1",
1498734570,334391,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,334408,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.1.165>,
            {get_until,unicode,'',erl_scan,tokens,[47,[]]}}","-1",
1498734570,334934,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,
           {ok,[{atom,48,fridge2},
                {'(',48},
                {var,48,'FoodList'},
                {')',48},
                {'->',48},
                {'receive',49},
                {'{',50},
                {var,50,'From'},
                {',',50},
                {'{',50},
                {atom,50,store},
                {',',50},
                {var,50,'Food'},
                {'}',50},
                {'}',50},
                {'->',50},
                {var,51,'From'},
                {'!',51},
                {'{',51},
                {atom,51,self},
                {'(',51},
                {')',51},
                {',',51},
                {atom,51,ok},
                {'}',51},
                {',',51},
                {atom,52,fridge2},
                {'(',52},
                {'[',52},
                {var,52,'Food'},
                {'|',52},
                {var,52,'FoodList'},
                {']',52},
                {')',52},
                {';',52},
                {'{',53},
                {var,53,'From'},
                {',',53},
                {'{',53},
                {atom,53,take},
                {',',53},
                {var,53,'Food'},
                {'}',53},
                {'}',53},
                {'->',53},
                {'case',54},
                {atom,54,lists},
                {':',54},
                {atom,54,member},
                {'(',54},
                {var,54,'Food'},
                {',',54},
                {var,54,'FoodList'},
                {')',54},
                {'of',54},
                {atom,55,true},
                {'->',55},
                {var,56,'From'},
                {'!',56},
                {'{',56},
                {atom,56,self},
                {'(',56},
                {')',56},
                {',',56},
                {'{',56},
                {atom,56,ok},
                {',',56},
                {var,56,'Food'},
                {'}',56},
                {'}',56},
                {',',56},
                {atom,57,fridge2},
                {'(',57},
                {atom,57,lists},
                {':',57},
                {atom,57,delete},
                {'(',57},
                {var,57,'Food'},
                {',',57},
                {var,57,'FoodList'},
                {')',57},
                {')',57},
                {';',57},
                {atom,58,false},
                {'->',58},
                {var,59,'From'},
                {'!',59},
                {'{',59},
                {atom,59,self},
                {'(',59},
                {')',59},
                {',',59},
                {atom,59,not_found},
                {'}',59},
                {',',59},
                {atom,60,fridge2},
                {'(',60},
                {var,60,'FoodList'},
                {')',60},
                {'end',61},
                {';',61},
                {atom,62,terminate},
                {'->',62},
                {atom,63,ok},
                {'end',64},
                {dot,64}]}}","-1",
1498734570,335072,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,scan_erl_form}","-1",
1498734570,335087,send,"<0.67.0>","<0.68.0>",,,,,"{io_request,<0.67.0>,#Ref<0.0.6.1>,
            {get_until,unicode,'',erl_scan,tokens,[65,[]]}}","-1",
1498734570,335145,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,{eof,65}}","-1",
1498734570,335152,send,"<0.66.0>","<0.67.0>",,,,,"{epp_request,<0.66.0>,close}","-1",
1498734570,335158,send,"<0.67.0>","<0.68.0>",,,,,"{file_request,<0.67.0>,#Ref<0.0.6.4>,close}","-1",
1498734570,335202,send,"<0.67.0>","<0.66.0>",,,,,"{epp_reply,<0.67.0>,ok}","-1",
1498734570,335206,exit,"<0.67.0>",,,,,,"normal","-1",
1498734570,335317,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,otp_internal}}","-1",
1498734570,337774,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,sofs}}","-1",
